Source,Species,Fomite,Time,Count,log10,Units,Area,Conc,Media,Droplet,Humidity,Rec_Met,Rec_Elu,Rec_%,LR
Dire 2023,Cauris,GlassDryPlanktonic,0,3993.2629,3.6013279,log CFU/block,,3993.2629,,,,,,,0
Dire 2023,Cauris,GlassDryPlanktonic,1,1751.2195,3.2433406,log CFU/block,,3993.2629,,,,,,,0.3579873
Dire 2023,Cauris,GlassDryPlanktonic,2,1397.5248,3.1453595,log CFU/block,,3993.2629,,,,,,,0.4559684
Dire 2023,Cauris,GlassDryPlanktonic,3,2033.6992,3.3082867,log CFU/block,,3993.2629,,,,,,,0.2930412
Dire 2023,Cauris,GlassDryPlanktonic,4,2278.4542,3.3576403,log CFU/block,,3993.2629,,,,,,,0.2436876
Dire 2023,Cauris,GlassDryPlanktonic,5,3087.8964,3.4896627,log CFU/block,,3993.2629,,,,,,,0.1116652
Dire 2023,Cauris,GlassDryPlanktonic,7,2401.8727,3.38055,log CFU/block,,3993.2629,,,,,,,0.2207779
Dire 2023,Cauris,GlassDryPlanktonic,14,1672.7379,3.2234279,log CFU/block,,3993.2629,,,,,,,0.3779
Dire 2023,Cauris,GlassDryPlanktonic,21,258.79227,2.4129513,log CFU/block,,3993.2629,,,,,,,1.1883766
Dire 2023,Cauris,FabricDryPlanktonic,0,3941.6885,3.5956823,log CFU/block,,3941.6885,,,,,,,0
Dire 2023,Cauris,FabricDryPlanktonic,1,3779.7682,3.5774652,log CFU/block,,3941.6885,,,,,,,0.0182171
Dire 2023,Cauris,FabricDryPlanktonic,2,6452.9506,3.8097583,log CFU/block,,3941.6885,,,,,,,-0.214076
Dire 2023,Cauris,FabricDryPlanktonic,3,7658.8071,3.8841611,log CFU/block,,3941.6885,,,,,,,-0.288479
Dire 2023,Cauris,FabricDryPlanktonic,4,5615.2371,3.7493681,log CFU/block,,3941.6885,,,,,,,-0.153686
Dire 2023,Cauris,FabricDryPlanktonic,5,4383.9232,3.6418629,log CFU/block,,3941.6885,,,,,,,-0.046181
Dire 2023,Cauris,FabricDryPlanktonic,7,3390.1222,3.5302154,log CFU/block,,3941.6885,,,,,,,0.0654669
Dire 2023,Cauris,FabricDryPlanktonic,14,2404.9236,3.3811013,log CFU/block,,3941.6885,,,,,,,0.214581
Dire 2023,Cauris,FabricDryPlanktonic,21,1756.1645,3.2445652,log CFU/block,,3941.6885,,,,,,,0.3511171
Dire 2023,Cauris,PlasticDryPlanktonic,0,4526.6931,3.6557811,log CFU/block,,4526.6931,,,,,,,0
Dire 2023,Cauris,PlasticDryPlanktonic,1,4046.4738,3.6070767,log CFU/block,,4526.6931,,,,,,,0.0487043
Dire 2023,Cauris,PlasticDryPlanktonic,2,4766.0199,3.6781558,log CFU/block,,4526.6931,,,,,,,-0.022375
Dire 2023,Cauris,PlasticDryPlanktonic,3,4506.4613,3.6538356,log CFU/block,,4526.6931,,,,,,,0.0019454
Dire 2023,Cauris,PlasticDryPlanktonic,4,4006.01,3.602712,log CFU/block,,4526.6931,,,,,,,0.053069
Dire 2023,Cauris,PlasticDryPlanktonic,5,3874.8817,3.5882584,log CFU/block,,4526.6931,,,,,,,0.0675226
Dire 2023,Cauris,PlasticDryPlanktonic,7,2896.3349,3.4618488,log CFU/block,,4526.6931,,,,,,,0.1939323
Dire 2023,Cauris,PlasticDryPlanktonic,14,1850.3495,3.2672538,log CFU/block,,4526.6931,,,,,,,0.3885273
Dire 2023,Cauris,PlasticDryPlanktonic,21,1335.8716,3.1257647,log CFU/block,,4526.6931,,,,,,,0.5300163
Dire 2023,Cauris,WoodDryPlanktonic,0,3910.7617,3.5922614,log CFU/block,,3910.7617,,,,,,,0
Dire 2023,Cauris,WoodDryPlanktonic,1,3599.5735,3.556251,log CFU/block,,3910.7617,,,,,,,0.0360103
Dire 2023,Cauris,WoodDryPlanktonic,2,5357.8012,3.7289866,log CFU/block,,3910.7617,,,,,,,-0.136725
Dire 2023,Cauris,WoodDryPlanktonic,3,4477.7637,3.6510612,log CFU/block,,3910.7617,,,,,,,-0.0588
