Source,Species,Fomite,Time,Count,log10,Units,Area,Conc,Media,Droplet,Humidity,Rec_Met,Rec_Elu,Rec_%,LR
Otter 2009,Cdifficile027,StainlessSteel,0,20546175.88,7.312731001,log CFU/disc,,20546175.88,,,,,,,0
Otter 2009,Cdifficile027,StainlessSteel,7,10700353.1,7.029398109,log CFU/disc,,20546175.88,,,,,,,0.283332892
Otter 2009,Cdifficile027,StainlessSteel,14,5721708.88,6.757525757,log CFU/disc,,20546175.88,,,,,,,0.555205244
Otter 2009,Cdifficile027,StainlessSteel,21,1680861.673,6.225531975,log CFU/disc,,20546175.88,,,,,,,1.087199027
Otter 2009,Cdifficile027,StainlessSteel,28,6851998.941,6.835817287,log CFU/disc,,20546175.88,,,,,,,0.476913714
Otter 2009,Cdifficile027,StainlessSteel,35,4917743.004,6.691765829,log CFU/disc,,20546175.88,,,,,,,0.620965172
Otter 2009,Cdifficile027,StainlessSteel,42,2900909.726,6.462534214,log CFU/disc,,20546175.88,,,,,,,0.850196787
Otter 2009,Cdifficile106,StainlessSteel,0,4839276.184,6.684780409,log CFU/disc,,4839276.184,,,,,,,0
Otter 2009,Cdifficile106,StainlessSteel,7,2837957.758,6.453005927,log CFU/disc,,4839276.184,,,,,,,0.231774482
Otter 2009,Cdifficile106,StainlessSteel,14,2212364.822,6.344856744,log CFU/disc,,4839276.184,,,,,,,0.339923664
Otter 2009,Cdifficile106,StainlessSteel,21,1770484.443,6.248092115,log CFU/disc,,4839276.184,,,,,,,0.436688294
Otter 2009,Cdifficile106,StainlessSteel,28,5523562.279,6.742219255,log CFU/disc,,4839276.184,,,,,,,-0.057438846
Otter 2009,Cdifficile106,StainlessSteel,35,1821378.801,6.260400278,log CFU/disc,,4839276.184,,,,,,,0.424380131
Otter 2009,Cdifficile106,StainlessSteel,42,1021747.35,6.00934352,log CFU/disc,,4839276.184,,,,,,,0.675436888
Otter 2009,CdifficileClinical,StainlessSteel,0,4379860.795,6.641460308,log CFU/disc,,4379860.795,,,,,,,0
Otter 2009,CdifficileClinical,StainlessSteel,7,2027769.55,6.307018597,log CFU/disc,,4379860.795,,,,,,,0.33444171
Otter 2009,CdifficileClinical,StainlessSteel,14,1851285.696,6.267473446,log CFU/disc,,4379860.795,,,,,,,0.373986862
Otter 2009,CdifficileClinical,StainlessSteel,21,984821.8006,5.993357654,log CFU/disc,,4379860.795,,,,,,,0.648102654
Otter 2009,CdifficileClinical,StainlessSteel,28,767974.6368,5.885346877,log CFU/disc,,4379860.795,,,,,,,0.75611343
Otter 2009,CdifficileClinical,StainlessSteel,35,700463.6513,5.845385604,log CFU/disc,,4379860.795,,,,,,,0.796074704
Otter 2009,CdifficileClinical,StainlessSteel,42,1005063.404,6.00219346,log CFU/disc,,4379860.795,,,,,,,0.639266847
Otter 2009,CdifficileAgg,StainlessSteel,0,7105633.147,6.851602782,log CFU/disc,,7105633.147,,,,,,,0
Otter 2009,CdifficileAgg,StainlessSteel,7,3726244.903,6.571271395,log CFU/disc,,7105633.147,,,,,,,0.280331387
Otter 2009,CdifficileAgg,StainlessSteel,14,2601483.956,6.415221152,log CFU/disc,,7105633.147,,,,,,,0.43638163
Otter 2009,CdifficileAgg,StainlessSteel,21,1180842.435,6.072191952,log CFU/disc,,7105633.147,,,,,,,0.77941083
Otter 2009,CdifficileAgg,StainlessSteel,28,3084845.449,6.489233411,log CFU/disc,,7105633.147,,,,,,,0.362369371
Otter 2009,CdifficileAgg,StainlessSteel,35,1879082.945,6.273945951,log CFU/disc,,7105633.147,,,,,,,0.577656831
Otter 2009,CdifficileAgg,StainlessSteel,42,1456562.03,6.163328984,log CFU/disc,,7105633.147,,,,,,,0.688273797
