Source,Species,Fomite,Time,Count,log10,Units,Area,Conc,Media,Droplet,Humidity,Rec_Met,Rec_Elu,Rec_%,LR
Traore2002,Calbicans,Glass,0,1.00E+09,9,CFU/mL,,1.00E+09,,,,,,1,0
Traore2002,Calbicans,Glass,1,1.90E+07,7.2787536,CFU/mL,,1.00E+09,,,,,,0.019,1.7212464
Traore2002,Calbicans,Glass,2,1.00E+07,7,CFU/mL,,1.00E+09,,,,,,0.01,2
Traore2002,Calbicans,Glass,3,2.00E+06,6.30103,CFU/mL,,1.00E+09,,,,,,0.002,2.69897
Traore2002,Calbicans,Glass,7,1.00E+00,0,CFU/mL,,1.00E+09,,,,,,0,9
Traore2002,Calbicans,Glass,14,1.00E+00,0,CFU/mL,,1.00E+09,,,,,,0,9
Traore2002,Calbicans,StainlessSteel,0,1.00E+09,9,CFU/mL,,1.00E+09,,,,,,1,0
Traore2002,Calbicans,StainlessSteel,1,9.30E+06,6.9684829,CFU/mL,,1.00E+09,,,,,,0.0093,2.0315171
Traore2002,Calbicans,StainlessSteel,2,1.10E+07,7.0413927,CFU/mL,,1.00E+09,,,,,,0.011,1.9586073
Traore2002,Calbicans,StainlessSteel,3,3.20E+06,6.50515,CFU/mL,,1.00E+09,,,,,,0.0032,2.49485
Traore2002,Calbicans,StainlessSteel,7,1,0,CFU/mL,,1.00E+09,,,,,,0,9
Traore2002,Calbicans,StainlessSteel,14,1,0,CFU/mL,,1.00E+09,,,,,,0,9
Traore2002,Cparapsilosis,Glass,0,1.00E+09,9,CFU/mL,,1.00E+09,,,,,,1,0
Traore2002,Cparapsilosis,Glass,1,1.76E+08,8.2455127,CFU/mL,,1.00E+09,,,,,,0.176,0.7544873
Traore2002,Cparapsilosis,Glass,2,2.16E+08,8.3344538,CFU/mL,,1.00E+09,,,,,,0.216,0.6655462
Traore2002,Cparapsilosis,Glass,3,1.49E+08,8.1731863,CFU/mL,,1.00E+09,,,,,,0.149,0.8268137
Traore2002,Cparapsilosis,Glass,7,3.90E+07,7.5910646,CFU/mL,,1.00E+09,,,,,,0.039,1.4089354
Traore2002,Cparapsilosis,Glass,14,4.10E+07,7.6127839,CFU/mL,,1.00E+09,,,,,,0.041,1.3872161
Traore2002,Cparapsilosis,StainlessSteel,0,1.00E+09,9,CFU/mL,,1.00E+09,,,,,,1,0
Traore2002,Cparapsilosis,StainlessSteel,1,1.98E+08,8.2966652,CFU/mL,,1.00E+09,,,,,,0.198,0.7033348
Traore2002,Cparapsilosis,StainlessSteel,2,2.10E+08,8.3222193,CFU/mL,,1.00E+09,,,,,,0.21,0.6777807
Traore2002,Cparapsilosis,StainlessSteel,3,1.37E+08,8.1367206,CFU/mL,,1.00E+09,,,,,,0.137,0.8632794
Traore2002,Cparapsilosis,StainlessSteel,7,1.90E+07,7.2787536,CFU/mL,,1.00E+09,,,,,,0.019,1.7212464
Traore2002,Cparapsilosis,StainlessSteel,14,1.25E+07,7.09691,CFU/mL,,1.00E+09,,,,,,0.0125,1.90309
Traore2002,Calbicans,PolyCotton,0,3.60E+08,8.5563025,CFU/mL,,1.00E+09,,,,,,0.36,0.4436975
Traore2002,Calbicans,PolyCotton,0.0208333,332640000,8.5219745,CFU/mL,,3.60E+08,,,,,,0.924,0.034328
Traore2002,Calbicans,PolyCotton,0.0416667,263880000,8.4214065,CFU/mL,,3.60E+08,,,,,,0.733,0.134896
Traore2002,Calbicans,PolyCotton,0.0833333,114480000,8.0587296,CFU/mL,,3.60E+08,,,,,,0.318,0.4975729
Traore2002,Calbicans,PolyCotton,0.1666667,4.54E+07,7.656673,CFU/mL,,3.60E+08,,,,,,0.126,0.8996295
Traore2002,Calbicans,PolyCotton,0.3333333,102960000,8.0126685,CFU/mL,,3.60E+08,,,,,,0.286,0.543634
Traore2002,Calbicans,PolyCotton,1,31680000,7.5007852,CFU/mL,,3.60E+08,,,,,,0.088,1.0555173
Traore2002,Calbicans,PolyCotton,7,33480000,7.5247854,CFU/mL,,3.60E+08,,,,,,0.093,1.0315171
Traore2002,Calbicans,PolyCotton,14,3600000,6.5563025,CFU/mL,,3.60E+08,,,,,,0.01,2
Traore2002,Calbicans,Cotton,0,3.60E+08,8.5563025,CFU/mL,,1.00E+09,,,,,,0.36,0.4436975
Traore2002,Calbicans,Cotton,0.0208333,299880000,8.4769475,CFU/mL,,3.60E+08,,,,,,0.833,0.079355
Traore2002,Calbicans,Cotton,0.0416667,132840000,8.1233289,CFU/mL,,3.60E+08,,,,,,0.369,0.4329736
Traore2002,Calbicans,Cotton,0.0833333,50040000,7.6993173,CFU/mL,,3.60E+08,,,,,,0.139,0.8569852
Traore2002,Calbicans,Cotton,0.1666667,52920000,7.7236198,CFU/mL,,3.60E+08,,,,,,0.147,0.8326827
Traore2002,Calbicans,Cotton,0.3333333,26280000,7.4196254,CFU/mL,,3.60E+08,,,,,,0.073,1.1366771
Traore2002,Calbicans,Cotton,1,26280000,7.4196254,CFU/mL,,3.60E+08,,,,,,0.073,1.1366771
Traore2002,Calbicans,Cotton,7,5040000,6.7024305,CFU/mL,,3.60E+08,,,,,,0.014,1.853872
Traore2002,Calbicans,Cotton,14,1440000,6.1583625,CFU/mL,,3.60E+08,,,,,,0.004,2.39794
Traore2002,Cparapsilosis,PolyCotton,0,670000000,8.8260748,CFU/mL,,1.00E+09,,,,,,0.67,0.1739252
Traore2002,Cparapsilosis,PolyCotton,0.0208333,361800000,8.5584686,CFU/mL,,670000000,,,,,,0.54,0.2676062
Traore2002,Cparapsilosis,PolyCotton,0.0416667,113230000,8.0539615,CFU/mL,,670000000,,,,,,0.169,0.7721133
Traore2002,Cparapsilosis,PolyCotton,0.0833333,109210000,8.0382624,CFU/mL,,670000000,,,,,,0.163,0.7878124
Traore2002,Cparapsilosis,PolyCotton,0.1666667,164150000,8.2152409,CFU/mL,,670000000,,,,,,0.245,0.6108339
Traore2002,Cparapsilosis,PolyCotton,0.3333333,52260000,7.7181694,CFU/mL,,670000000,,,,,,0.078,1.1079054
Traore2002,Cparapsilosis,PolyCotton,1,50250000,7.7011361,CFU/mL,,670000000,,,,,,0.075,1.1249387
Traore2002,Cparapsilosis,PolyCotton,7,12730000,7.1048284,CFU/mL,,670000000,,,,,,0.019,1.7212464
Traore2002,Cparapsilosis,PolyCotton,14,12060000,7.0813473,CFU/mL,,670000000,,,,,,0.018,1.7447275
Traore2002,Cparapsilosis,Cotton,0,670000000,8.8260748,CFU/mL,,1.00E+09,,,,,,0.67,0.1739252
Traore2002,Cparapsilosis,Cotton,0.0208333,184250000,8.2654075,CFU/mL,,670000000,,,,,,0.275,0.5606673
Traore2002,Cparapsilosis,Cotton,0.0416667,194300000,8.2884728,CFU/mL,,670000000,,,,,,0.29,0.537602
Traore2002,Cparapsilosis,Cotton,0.0833333,113900000,8.0565237,CFU/mL,,670000000,,,,,,0.17,0.7695511
Traore2002,Cparapsilosis,Cotton,0.1666667,180900000,8.2574386,CFU/mL,,670000000,,,,,,0.27,0.5686362
Traore2002,Cparapsilosis,Cotton,0.3333333,112560000,8.0513841,CFU/mL,,670000000,,,,,,0.168,0.7746907
Traore2002,Cparapsilosis,Cotton,1,54270000,7.7345598,CFU/mL,,670000000,,,,,,0.081,1.091515
Traore2002,Cparapsilosis,Cotton,7,10720000,7.0301948,CFU/mL,,670000000,,,,,,0.016,1.79588
Traore2002,Cparapsilosis,Cotton,14,670000,5.8260748,CFU/mL,,670000000,,,,,,0.001,3
