Source,Species,Fomite,Time,Count,log10,Units,Area,Conc,Media,Droplet,Humidity,Rec_Met,Rec_Elu,Rec_%,LR
Weaver 2008,Cdifficile,C11000TotalCulture,0,316227.766,5.5,log CFU/coupon,,316227.766,,,,,,,0
Weaver 2008,Cdifficile,C11000TotalCulture,0.041666667,108709.2551,5.03626652,log CFU/coupon,,316227.766,,,,,,,0.46373348
Weaver 2008,Cdifficile,C11000TotalCulture,0.125,5752.138902,3.759829365,log CFU/coupon,,316227.766,,,,,,,1.740170635
Weaver 2008,Cdifficile,C11000TotalCulture,0.208333333,331.7950201,2.520869863,log CFU/coupon,,316227.766,,,,,,,2.979130137
Weaver 2008,Cdifficile,C11000TotalCulture,0.25,1799.681573,3.25519567,log CFU/coupon,,316227.766,,,,,,,2.24480433
Weaver 2008,Cdifficile,C11000TotalCulture,1,1,0,log CFU/coupon,,316227.766,,,,,,,5.5
Weaver 2009,Cdifficile,C11000TotalCulture,2,1,0,log CFU/coupon,,316227.766,,,,,,,5.5
Weaver 2008,Cdifficile,C26000TotalCulture,0,316227.766,5.5,log CFU/coupon,,316227.766,,,,,,,0
Weaver 2008,Cdifficile,C26000TotalCulture,0.041666667,229092.7596,5.360011364,log CFU/coupon,,316227.766,,,,,,,0.139988636
Weaver 2008,Cdifficile,C26000TotalCulture,0.125,2365.885632,3.373993747,log CFU/coupon,,316227.766,,,,,,,2.126006253
Weaver 2008,Cdifficile,C26000TotalCulture,0.25,2705.446418,3.432238937,log CFU/coupon,,316227.766,,,,,,,2.067761063
Weaver 2008,Cdifficile,C26000TotalCulture,1,593.6000208,2.773493908,log CFU/coupon,,316227.766,,,,,,,2.726506092
Weaver 2008,Cdifficile,C26000TotalCulture,2,615.557691,2.789268762,log CFU/coupon,,316227.766,,,,,,,2.710731238
Weaver 2008,Cdifficile,C51000TotalCulture,0,316227.766,5.5,log CFU/coupon,,316227.766,,,,,,,0
Weaver 2008,Cdifficile,C51000TotalCulture,0.041666667,165407.7452,5.218555841,log CFU/coupon,,316227.766,,,,,,,0.281444159
Weaver 2008,Cdifficile,C51000TotalCulture,0.125,2542.587407,3.405275892,log CFU/coupon,,316227.766,,,,,,,2.094724108
Weaver 2008,Cdifficile,C51000TotalCulture,0.25,3538.520664,3.548821736,log CFU/coupon,,316227.766,,,,,,,1.951178264
Weaver 2008,Cdifficile,C51000TotalCulture,1,125.4911221,2.098613002,log CFU/coupon,,316227.766,,,,,,,3.401386998
Weaver 2008,Cdifficile,C51000TotalCulture,2,1,0,log CFU/coupon,,316227.766,,,,,,,5.5
Weaver 2008,Cdifficile,C70600TotalCulture,0,316227.766,5.5,log CFU/coupon,,316227.766,,,,,,,0
Weaver 2008,Cdifficile,C70600TotalCulture,0.041666667,9012.410343,3.954840957,log CFU/coupon,,316227.766,,,,,,,1.545159043
Weaver 2008,Cdifficile,C70600TotalCulture,0.125,3367.894385,3.527358464,log CFU/coupon,,316227.766,,,,,,,1.972641536
Weaver 2008,Cdifficile,C70600TotalCulture,0.25,6257.788881,3.796420907,log CFU/coupon,,316227.766,,,,,,,1.703579093
Weaver 2008,Cdifficile,C70600TotalCulture,1,831.7941071,2.920015839,log CFU/coupon,,316227.766,,,,,,,2.579984161
Weaver 2008,Cdifficile,C70600TotalCulture,2,358.7277698,2.554764998,log CFU/coupon,,316227.766,,,,,,,2.945235002
Weaver 2008,Cdifficile,C75200TotalCulture,0,316227.766,5.5,log CFU/coupon,,316227.766,,,,,,,0
Weaver 2008,Cdifficile,C75200TotalCulture,0.041666667,4323.844202,3.635870037,log CFU/coupon,,316227.766,,,,,,,1.864129963
Weaver 2008,Cdifficile,C75200TotalCulture,0.125,1513.111857,3.179871034,log CFU/coupon,,316227.766,,,,,,,2.320128966
Weaver 2008,Cdifficile,C75200TotalCulture,0.25,14238.98488,4.153479029,log CFU/coupon,,316227.766,,,,,,,1.346520971
Weaver 2008,Cdifficile,C75200TotalCulture,1,258.0774907,2.411750127,log CFU/coupon,,316227.766,,,,,,,3.088249873
Weaver 2008,Cdifficile,C75200TotalCulture,2,280.2950797,2.447615474,log CFU/coupon,,316227.766,,,,,,,3.052384526
Weaver 2008,Cdifficile,S30400TotalCulture,0,316227.766,5.5,log CFU/coupon,,316227.766,,,,,,,0
Weaver 2008,Cdifficile,S30400TotalCulture,0.041666667,69268.36901,4.840534962,log CFU/coupon,,316227.766,,,,,,,0.659465038
Weaver 2008,Cdifficile,S30400TotalCulture,0.125,3166.636802,3.500598255,log CFU/coupon,,316227.766,,,,,,,1.999401745
Weaver 2008,Cdifficile,S30400TotalCulture,0.208333333,435.2428438,2.638731639,log CFU/coupon,,316227.766,,,,,,,2.861268361
Weaver 2008,Cdifficile,S30400TotalCulture,0.25,1799.681573,3.25519567,log CFU/coupon,,316227.766,,,,,,,2.24480433
Weaver 2008,Cdifficile,S30400TotalCulture,1,1201.644858,3.079776132,log CFU/coupon,,316227.766,,,,,,,2.420223868
Weaver 2008,Cdifficile,S30400TotalCulture,2,1213.152061,3.08391524,log CFU/coupon,,316227.766,,,,,,,2.41608476
