Source,Species,Fomite,Time,Count,log10,Units,Area,Conc,Media,Droplet,Humidity,Rec_Met,Rec_Elu,Rec_%,LR
Welsh 2017,Cauris,PlasticCulture,0,70471.5712,4.84801395,log CFU,,70471.5712,,,,,,,0
Welsh 2017,Cauris,PlasticCulture,1,5242.37637,3.7195282,log CFU,,70471.5712,,,,,,,1.12848576
Welsh 2017,Cauris,PlasticCulture,2,3957.05418,3.597372,log CFU,,70471.5712,,,,,,,1.25064196
Welsh 2017,Cauris,PlasticCulture,4,1020.68753,3.00889281,log CFU,,70471.5712,,,,,,,1.83912114
Welsh 2017,Cauris,PlasticCulture,7,283.621196,2.45273868,log CFU,,70471.5712,,,,,,,2.39527527
Welsh 2017,Cauris,PlasticCulture,14,1.9920714,0.2993049,log CFU,,70471.5712,,,,,,,4.54870905
Welsh 2017,Cauris,PlasticCulture,21,1,0,log CFU,,70471.5712,,,,,,,4.84801395
Welsh 2017,Cauris,PlasticCulture,28,1,0,log CFU,,70471.5712,,,,,,,4.84801395
Welsh 2017,Cparapsilosis,PlasticCulture,0,58469.1688,4.76692692,log CFU,,58469.1688,,,,,,,0
Welsh 2017,Cparapsilosis,PlasticCulture,1,35294.0395,4.54770137,log CFU,,58469.1688,,,,,,,0.21922555
Welsh 2017,Cparapsilosis,PlasticCulture,2,36501.0526,4.56230539,log CFU,,58469.1688,,,,,,,0.20462153
Welsh 2017,Cparapsilosis,PlasticCulture,4,21121.755,4.32473,log CFU,,58469.1688,,,,,,,0.44219692
Welsh 2017,Cparapsilosis,PlasticCulture,7,10104.988,4.0045358,log CFU,,58469.1688,,,,,,,0.76239112
Welsh 2017,Cparapsilosis,PlasticCulture,14,2037.10454,3.30901332,log CFU,,58469.1688,,,,,,,1.4579136
Welsh 2017,Cparapsilosis,PlasticCulture,21,304.986554,2.48428069,log CFU,,58469.1688,,,,,,,2.28264623
Welsh 2017,Cparapsilosis,PlasticCulture,28,2.51181742,0.39998807,log CFU,,58469.1688,,,,,,,4.36693885
Welsh 2017,Cauris,PlasticEsterase,0,29651.2758,4.47204338,log CFU,,29651.2758,,,,,,,0
Welsh 2017,Cauris,PlasticEsterase,1,48636.4704,4.68696205,log CFU,,29651.2758,,,,,,,-0.2149187
Welsh 2017,Cauris,PlasticEsterase,2,45534.9774,4.65834513,log CFU,,29651.2758,,,,,,,-0.1863017
Welsh 2017,Cauris,PlasticEsterase,4,38654.3302,4.58719815,log CFU,,29651.2758,,,,,,,-0.1151548
Welsh 2017,Cauris,PlasticEsterase,7,22012.5444,4.34267025,log CFU,,29651.2758,,,,,,,0.12937314
Welsh 2017,Cauris,PlasticEsterase,14,9396.16671,3.97295071,log CFU,,29651.2758,,,,,,,0.49909267
Welsh 2017,Cauris,PlasticEsterase,21,5321.28923,3.72601686,log CFU,,29651.2758,,,,,,,0.74602652
Welsh 2017,Cauris,PlasticEsterase,28,1048.41727,3.02053417,log CFU,,29651.2758,,,,,,,1.45150922
Welsh 2017,Cparapsilosis,PlasticEsterase,0,3122.74236,3.49453615,log CFU,,3122.74236,,,,,,,0
Welsh 2017,Cparapsilosis,PlasticEsterase,1,12748.6179,4.1054631,log CFU,,3122.74236,,,,,,,-0.6109269
Welsh 2017,Cparapsilosis,PlasticEsterase,2,10728.26,4.03052929,log CFU,,3122.74236,,,,,,,-0.5359931
Welsh 2017,Cparapsilosis,PlasticEsterase,4,12604.7384,4.10053384,log CFU,,3122.74236,,,,,,,-0.6059977
Welsh 2017,Cparapsilosis,PlasticEsterase,7,8327.80098,3.92053034,log CFU,,3122.74236,,,,,,,-0.4259942
Welsh 2017,Cparapsilosis,PlasticEsterase,14,4854.33386,3.68612964,log CFU,,3122.74236,,,,,,,-0.1915935
Welsh 2017,Cparapsilosis,PlasticEsterase,21,2264.7564,3.3550215,log CFU,,3122.74236,,,,,,,0.13951466
Welsh 2017,Cparapsilosis,PlasticEsterase,28,336.347207,2.52678783,log CFU,,3122.74236,,,,,,,0.96774833
