Source,Species,Fomite,Time,Count,log10,Units,Area,Conc,Media,Droplet,Humidity,Rec_Met,Rec_Elu,Rec_%,LR
Wheeldon 2008,Cdifficile,SteelSpore,0,1909448.698,6.280907994,log CFU/mL,,1909448.698,,,,,,,0
Wheeldon 2008,Cdifficile,SteelSpore,0.020833333,2014352.963,6.304135572,log CFU/mL,,1909448.698,,,,,,,-0.023227577
Wheeldon 2008,Cdifficile,SteelSpore,0.041666667,3996048.906,6.601630795,log CFU/mL,,1909448.698,,,,,,,-0.3207228
Wheeldon 2008,Cdifficile,SteelSpore,0.0625,3904583.954,6.591574765,log CFU/mL,,1909448.698,,,,,,,-0.310666771
Wheeldon 2008,Cdifficile,SteelSpore,0.083333333,2428169.755,6.385279045,log CFU/mL,,1909448.698,,,,,,,-0.104371051
Wheeldon 2008,Cdifficile,SteelSpore,0.104166667,2172379.006,6.336935597,log CFU/mL,,1909448.698,,,,,,,-0.056027603
Wheeldon 2008,Cdifficile,SteelSpore,0.125,1812168.771,6.258198642,log CFU/mL,,1909448.698,,,,,,,0.022709353
Wheeldon 2008,Cdifficile,CopperSpore,0,5400030.27,6.732396194,log CFU/mL,,5400030.27,,,,,,,0
Wheeldon 2008,Cdifficile,CopperSpore,0.020833333,3745059.535,6.573458726,log CFU/mL,,5400030.27,,,,,,,0.158937468
Wheeldon 2008,Cdifficile,CopperSpore,0.041666667,5074746.285,6.705414334,log CFU/mL,,5400030.27,,,,,,,0.02698186
Wheeldon 2008,Cdifficile,CopperSpore,0.0625,3844755.165,6.584868689,log CFU/mL,,5400030.27,,,,,,,0.147527505
Wheeldon 2008,Cdifficile,CopperSpore,0.083333333,5033271.44,6.701850352,log CFU/mL,,5400030.27,,,,,,,0.030545842
Wheeldon 2008,Cdifficile,CopperSpore,0.104166667,4554422.976,6.658433362,log CFU/mL,,5400030.27,,,,,,,0.073962833
Wheeldon 2008,Cdifficile,CopperSpore,0.125,3177830.124,6.502130678,log CFU/mL,,5400030.27,,,,,,,0.230265517
Wheeldon 2008,Cdifficile,SteelSporeGerm,0,1892926.626,6.27713378,log CFU/mL,,1892926.626,,,,,,,0
Wheeldon 2008,Cdifficile,SteelSporeGerm,0.02083333,2054040.145,6.312608927,log CFU/mL,,1892926.626,,,,,,,-0.035475147
Wheeldon 2008,Cdifficile,SteelSporeGerm,0.04166667,1820946.422,6.260297168,log CFU/mL,,1892926.626,,,,,,,0.016836612
Wheeldon 2008,Cdifficile,SteelSporeGerm,0.0625,1240758.929,6.093687409,log CFU/mL,,1892926.626,,,,,,,0.183446371
Wheeldon 2008,Cdifficile,SteelSporeGerm,0.08333333,1323182.727,6.121619823,log CFU/mL,,1892926.626,,,,,,,0.155513957
Wheeldon 2008,Cdifficile,SteelSporeGerm,0.10416667,1174946.284,6.070018012,log CFU/mL,,1892926.626,,,,,,,0.207115768
Wheeldon 2008,Cdifficile,SteelSporeGerm,0.125,849178.8405,5.928999164,log CFU/mL,,1892926.626,,,,,,,0.348134616
Wheeldon 2008,Cdifficile,CopperSporeGerm,0,4467322.709,6.650047326,log CFU/mL,,4467322.709,,,,,,,0
Wheeldon 2008,Cdifficile,CopperSporeGerm,0.02083333,1588311.744,6.200935747,log CFU/mL,,4467322.709,,,,,,,0.449111579
Wheeldon 2008,Cdifficile,CopperSporeGerm,0.04166667,182510.0873,5.261286873,log CFU/mL,,4467322.709,,,,,,,1.388760453
Wheeldon 2008,Cdifficile,CopperSporeGerm,0.0625,8806.187682,3.944787937,log CFU/mL,,4467322.709,,,,,,,2.705259389
Wheeldon 2008,Cdifficile,CopperSporeGerm,0.08333333,11226.84187,4.050257606,log CFU/mL,,4467322.709,,,,,,,2.59978972
Wheeldon 2008,Cdifficile,CopperSporeGerm,0.10416667,7250.050265,3.860341018,log CFU/mL,,4467322.709,,,,,,,2.789706308
Wheeldon 2008,Cdifficile,CopperSporeGerm,0.125,5254.53402,3.720534208,log CFU/mL,,4467322.709,,,,,,,2.929513118
Wheeldon 2008,Cdifficile,CopperSporeGermSoil,0,6041218.097,6.781124515,log CFU/mL,,6041218.097,,,,,,,0
Wheeldon 2008,Cdifficile,CopperSporeGermSoil,0.02083333,994382.2899,5.997553381,log CFU/mL,,6041218.097,,,,,,,0.783571134
Wheeldon 2008,Cdifficile,CopperSporeGermSoil,0.04166667,62238.04362,4.794055933,log CFU/mL,,6041218.097,,,,,,,1.987068582
Wheeldon 2008,Cdifficile,CopperSporeGermSoil,0.0625,23822.0376,4.376978906,log CFU/mL,,6041218.097,,,,,,,2.404145609
Wheeldon 2008,Cdifficile,CopperSporeGermSoil,0.08333333,4643.726322,3.666866617,log CFU/mL,,6041218.097,,,,,,,3.114257898
Wheeldon 2008,Cdifficile,CopperSporeGermSoil,0.10416667,7411.301528,3.869894483,log CFU/mL,,6041218.097,,,,,,,2.911230032
Wheeldon 2008,Cdifficile,CopperSporeGermSoil,0.125,3484.668026,3.54216141,log CFU/mL,,6041218.097,,,,,,,3.238963104
